Well,Formation,Depth,Bulk_density_dry,Bulk_density_saturated,Vp_vertical_dry,Vp_vertical_saturated,Vs_vertical_dry,Vs_vertical_saturated,Carbonate_content,Quartz_content,Clay_content,Porosity_calculated,Bulk_modulus_dry_calculated,Shear_modulus_dry_calculated,Bulk_modulus_saturated_calculated,Shear_modulus_saturated_calculated,Poisson_ratio_dry_calculated,Poisson_ratio_saturated_calculated,Biots_coefficient_calculated,Vertical_overburden_stress,Vertical_differential_stress,Vertical_effective_stress,Bulk_modulus_saturated_Gassmanns,Shear_modulus_saturated_Gassmanns,Bulk_modulus_dry_Gassmanns,Shear_modulus_dry_Gassmanns,Vp_vertical_saturated_Gassmanns,Vs_vertical_saturated_Gassmanns,Vp_vertical_dry_Gassmanns,Vs_vertical_dry_Gassmanns
,,ft,g/cc,g/cc,km/s,km/s,km/s,km/s,%,%,%,%,GPa,GPa,GPa,GPa,,,,psi,psi,psi,GPa,GPa,GPa,GPa,km/s,km/s,km/s,km/s
Nana,chalk,6918.97,1.93,2.23,3.05,3.15,1.93,1.68,84.0,14.8,1.2,27.61,8.37,7.19,13.74,6.29,0.17,0.3,0.55,5991.83,2995.92,4337.31,11.33,5.19,6.04,5.19,2.86,1.53,2.59,1.64
Nana,chalk,6922.91,1.83,2.14,2.88,2.55,1.81,1.47,87.4,8.4,4.2,32.87,7.19,6.0,7.79,4.59,0.17,0.25,0.66,5995.63,2998.01,4024.9,9.82,5.79,6.93,5.79,2.86,1.64,2.83,1.78
Nana,chalk,6922.91,1.83,2.17,2.76,2.89,1.75,1.47,87.92,11.28,0.81,31.26,6.47,5.6,11.87,4.69,0.16,0.33,0.63,5995.63,2998.01,4121.82,9.31,3.68,4.24,3.68,2.56,1.3,2.24,1.42
Nana,chalk,6948.5,1.99,2.24,3.35,3.25,2.08,1.74,93.3,4.47,2.23,27.22,10.84,8.57,14.54,6.78,0.19,0.3,0.54,6019.68,3010.98,4381.79,13.64,6.36,8.05,6.36,3.14,1.68,2.88,1.79
Nana,chalk,6948.5,2.0,2.27,3.23,3.35,2.03,1.81,93.96,4.93,1.11,25.52,9.88,8.24,15.56,7.44,0.17,0.29,0.51,6019.68,3010.98,4483.75,12.96,6.2,7.43,6.2,3.06,1.65,2.8,1.76
Nana,chalk,6958.67,1.92,2.22,3.02,3.08,1.89,1.61,91.04,8.06,0.91,28.39,8.37,6.86,13.39,5.75,0.18,0.31,0.57,6029.68,3016.57,4318.72,11.3,4.86,5.92,4.86,2.83,1.48,2.54,1.59
Nana,chalk,6973.11,1.85,2.18,3.16,3.21,1.95,1.7,86.12,13.28,0.6,30.63,9.09,7.03,14.06,6.3,0.19,0.31,0.61,6043.55,3024.2,4193.79,11.72,5.25,6.79,5.25,2.93,1.55,2.73,1.68
Nana,chalk,6978.03,2.16,2.37,3.02,3.45,2.02,1.77,85.71,12.36,1.93,19.39,7.95,8.81,18.31,7.42,0.1,0.32,0.39,6048.2,3026.71,4876.57,12.12,4.91,4.43,4.91,2.81,1.44,2.25,1.51
Nana,chalk,6987.55,2.3,2.46,3.44,3.91,2.22,1.98,88.26,10.12,1.62,14.19,12.1,11.34,24.75,9.64,0.14,0.33,0.28,6057.96,3032.36,5199.59,16.83,6.56,7.0,6.56,3.22,1.63,2.62,1.69
Nana,chalk,7002.64,1.9,2.21,3.25,3.25,1.98,1.69,93.85,4.94,1.21,29.04,10.14,7.45,14.93,6.31,0.2,0.31,0.58,6074.04,3041.9,4313.19,12.85,5.43,7.39,5.43,3.02,1.57,2.78,1.69
Nana,chalk,7033.81,2.01,2.28,3.35,3.55,2.18,1.93,97.18,2.01,0.81,25.04,9.82,9.55,17.41,8.49,0.13,0.29,0.5,6103.87,3058.23,4578.81,13.0,6.34,6.52,6.34,3.07,1.67,2.73,1.78
Nana,chalk,7048.9,1.83,2.17,2.99,3.21,1.86,1.64,98.19,1.21,0.6,31.51,7.92,6.33,14.58,5.84,0.18,0.32,0.63,6118.77,3066.59,4195.21,10.66,4.27,5.34,4.27,2.74,1.4,2.45,1.53
Nana,chalk,7083.35,2.0,2.28,3.38,3.53,2.11,1.9,98.39,1.1,0.5,25.08,10.98,8.9,17.44,8.23,0.18,0.3,0.5,6151.14,3084.05,4612.56,14.04,6.63,8.17,6.63,3.17,1.7,2.92,1.82
Nana,chalk,7083.68,2.0,2.24,3.5,3.25,2.16,1.93,97.9,1.4,0.7,27.4,12.13,9.33,12.67,8.3,0.19,0.23,0.55,6151.46,3084.23,4470.48,14.83,9.72,12.63,9.72,3.52,2.08,3.58,2.2
Nana,chalk,7138.47,1.98,2.26,3.62,3.23,2.19,2.01,97.5,1.67,0.83,26.22,13.29,9.5,11.48,9.13,0.21,0.19,0.52,6204.6,3113.65,4584.01,15.98,12.71,17.79,12.71,3.82,2.37,4.19,2.53
Nana,chalk,7138.47,1.95,2.27,3.43,3.55,2.09,1.91,98.09,0.91,1.01,25.64,11.58,8.52,17.57,8.28,0.2,0.3,0.51,6204.6,3113.65,4619.72,14.51,6.84,9.31,6.84,3.23,1.74,3.07,1.87
Nana,chalk,7142.74,2.01,2.26,3.71,3.37,2.19,1.97,98.3,1.13,0.57,26.25,14.8,9.6,13.9,8.77,0.23,0.24,0.52,6208.8,3115.99,4585.24,17.35,10.95,16.89,10.95,3.76,2.2,3.96,2.33
Nana,chalk,7179.16,2.15,2.37,3.72,3.94,2.28,2.11,97.78,1.51,0.7,19.79,14.85,11.18,22.72,10.55,0.2,0.3,0.4,6244.44,3135.86,5014.21,18.15,8.43,11.2,8.43,3.52,1.89,3.23,1.98
Nana,chalk,7179.16,2.14,2.36,3.94,3.81,2.38,2.13,97.2,1.87,0.93,20.35,16.99,12.17,20.07,10.71,0.21,0.27,0.41,6244.44,3135.86,4979.49,19.94,10.64,14.85,10.64,3.8,2.12,3.68,2.23
Nana,chalk,7183.42,2.15,2.33,3.77,3.73,2.51,2.21,98.0,1.33,0.67,22.14,12.58,13.55,17.16,11.38,0.1,0.23,0.44,6248.79,3138.37,4871.67,15.82,10.49,9.74,10.49,3.58,2.12,3.32,2.21
Nana,chalk,7197.53,2.08,2.31,3.52,3.7,2.17,1.99,98.29,0.9,0.8,23.31,12.71,9.79,19.43,9.15,0.19,0.3,0.47,6263.03,3146.5,4810.12,15.79,7.44,9.65,7.44,3.34,1.79,3.07,1.89
Cecilie-1B,Ekofisk,7775.97,2.1,2.33,3.87,3.81,2.34,2.07,93.7,3.93,2.38,21.73,16.14,11.51,20.54,10.0,0.21,0.29,0.43,6841.6,3474.61,5378.63,18.96,9.23,12.93,9.23,3.66,1.99,3.46,2.09
Kraka,chalk,7796.64,1.77,2.17,2.76,2.87,1.79,1.45,87.81,10.98,1.21,31.24,5.92,5.67,11.79,4.56,0.14,0.33,0.62,6862.49,3486.54,4753.44,8.82,3.41,3.56,3.41,2.48,1.25,2.14,1.39
